Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
299,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
300,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
302,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
309,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
