Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
