Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
22,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
26,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
