Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
