Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,NULL
239,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
241,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
242,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
243,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
249,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
255,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
260,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
263,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
269,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
302,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
306,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,NULL
310,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
