Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
