Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KKE_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
112,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
114,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
117,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
118,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
119,NULL,NULL,Water,Water,Water,NULL,NULL,Water
120,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
130,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
136,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
137,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
138,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
140,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
151,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
152,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
153,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
166,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
168,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
170,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
182,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
185,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
194,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
195,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
198,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
204,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
206,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
207,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
213,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
214,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
225,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
227,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
232,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
240,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
242,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
244,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
245,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
247,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
253,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
255,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
257,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
259,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
261,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
264,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
267,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
276,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
279,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
286,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
290,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
293,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
295,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
297,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
299,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
302,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
305,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
306,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
308,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
310,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
312,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
313,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
315,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
316,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
317,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
319,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
322,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
324,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
325,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
326,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
327,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
329,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
