Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
24,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
