Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRJ_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
168,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
169,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
170,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
171,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
173,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
174,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
175,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
