Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
