Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
83,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
86,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
87,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Water
89,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
90,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Wetland
92,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
93,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
96,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
97,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
103,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
108,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
110,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
111,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
112,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
113,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Built-up
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
219,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
221,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
224,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
233,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
240,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
249,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
288,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
291,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
292,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
296,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
297,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
298,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
301,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
302,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
303,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
305,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
306,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
307,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
308,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
309,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
310,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
311,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
312,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
313,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Wetland
314,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
315,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
324,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
325,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
