Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
