Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
28,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
47,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
49,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
