Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
