Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
