Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Forest
1,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
22,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
24,NULL,NULL,Cropland,Water,Non_Wetland,Water
25,NULL,NULL,Cropland,Water,Non_Wetland,Forest
26,NULL,NULL,Wetland,NULL,Wetland,NULL
27,NULL,NULL,Wetland,NULL,Wetland,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,Wetland
29,NULL,NULL,Wetland,NULL,Wetland,Water
30,NULL,NULL,Wetland,NULL,Wetland,Forest
31,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
32,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
33,NULL,NULL,Wetland,Non_Water,Wetland,Water
34,NULL,NULL,Wetland,Non_Water,Wetland,Forest
35,NULL,NULL,Wetland,Water,Wetland,Grassland
36,NULL,NULL,Wetland,Water,Wetland,Wetland
37,NULL,NULL,Wetland,Water,Wetland,Water
38,NULL,NULL,Wetland,Water,Wetland,Forest
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
41,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
42,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Water,NULL,Water,Grassland
44,NULL,NULL,Water,NULL,Water,Water
45,NULL,NULL,Water,Non_Water,Water,Grassland
46,NULL,NULL,Water,Non_Water,Water,Wetland
47,NULL,NULL,Water,Non_Water,Water,Water
48,NULL,NULL,Water,Non_Water,Water,Forest
49,NULL,NULL,Water,Water,Water,Grassland
50,NULL,NULL,Water,Water,Water,Wetland
51,NULL,NULL,Water,Water,Water,Water
52,NULL,NULL,Water,Water,Water,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
55,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
56,NULL,NULL,Forest,NULL,Non_Wetland,Water
57,NULL,NULL,Forest,NULL,Non_Wetland,Forest
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Forest,Water,Non_Wetland,Grassland
62,NULL,NULL,Forest,Water,Non_Wetland,Water
63,NULL,NULL,Forest,Water,Non_Wetland,Forest
64,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
65,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
66,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
67,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
68,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
69,NULL,Wetland,Wetland,NULL,Wetland,NULL
70,NULL,Wetland,Wetland,NULL,Wetland,Grassland
71,NULL,Wetland,Wetland,NULL,Wetland,Water
72,NULL,Wetland,Wetland,NULL,Wetland,Forest
73,NULL,Wetland,Wetland,Water,Wetland,Grassland
74,NULL,Wetland,Wetland,Water,Wetland,Wetland
75,NULL,Wetland,Wetland,Water,Wetland,Water
76,NULL,Wetland,Water,Water,Water,Water
77,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
78,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
79,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
80,NULL,Bareland,Wetland,NULL,Wetland,Water
81,NULL,Bareland,Wetland,Non_Water,Wetland,Water
82,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
83,NULL,Bareland,Wetland,Water,Wetland,Water
84,NULL,Bareland,Wetland,Water,Wetland,Forest
85,NULL,Bareland,Bareland,Water,Non_Wetland,Water
86,NULL,Bareland,Water,Non_Water,Water,Water
87,NULL,Bareland,Water,Water,Water,Water
88,NULL,Bareland,Forest,Water,Non_Wetland,Water
89,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
90,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
91,NULL,Built-up,NULL,NULL,Non_Wetland,Water
92,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
98,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
99,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
100,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
101,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
102,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
103,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
104,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
105,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
108,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
109,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
