Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
100,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Forest
124,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
126,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
248,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
249,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
256,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
259,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
262,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Wetland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
302,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
305,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
320,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
321,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
322,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
323,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Built-up
324,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
325,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
326,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
