Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
94,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
99,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
100,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
101,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
102,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
103,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
104,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
105,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
106,NULL,NULL,Water,Water,Water,NULL,NULL,Water
107,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
121,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
133,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
134,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
147,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
174,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
175,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
176,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
178,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
179,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
180,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
182,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
183,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
184,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
185,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
193,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
199,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
200,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
201,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
202,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
203,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
204,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
205,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
206,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
207,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
208,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
209,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
213,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
214,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
215,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
219,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
220,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
230,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
231,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
232,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
233,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
234,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
235,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
236,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
237,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
238,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
239,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
240,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
241,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
243,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
253,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
261,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
266,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
267,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
268,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
276,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
281,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
282,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
285,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
289,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
291,NULL,Water,Water,Water,Water,NULL,NULL,Water
292,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
295,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
298,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
300,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
302,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
303,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
305,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
306,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
308,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
310,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
314,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
315,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
316,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
317,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
318,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
319,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
320,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
321,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
322,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
323,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
325,NULL,Forest,Water,Water,Water,NULL,NULL,Wetland
326,NULL,Forest,Water,Water,Water,NULL,NULL,Water
327,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
328,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
330,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
331,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
332,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
334,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
335,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
336,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
338,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
339,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
340,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
