Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
67,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
68,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
69,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
70,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
71,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
72,NULL,NULL,Water,Water,Water,NULL,NULL,Water
73,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
88,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
89,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
95,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
97,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
98,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
101,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
105,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
109,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
116,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
119,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
124,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
125,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
126,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
127,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
128,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
129,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
130,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
131,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
132,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
133,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
134,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
135,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
136,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
142,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
143,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
145,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
146,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
147,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
148,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
149,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
152,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
159,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
160,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
165,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
179,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
180,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
181,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
182,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
198,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
199,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
202,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
204,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
207,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
208,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
211,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
215,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
216,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
218,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
219,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
220,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
223,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
226,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
227,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
228,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
234,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
235,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
236,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
237,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
238,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
239,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
240,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
241,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
243,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
250,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
253,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
255,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
256,NULL,Water,Water,NULL,Water,NULL,NULL,Water
257,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
258,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
259,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
260,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
261,NULL,Water,Water,Water,Water,NULL,NULL,Water
262,NULL,Water,Water,Water,Water,NULL,NULL,Forest
263,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
266,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
269,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
270,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
271,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
273,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
274,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
275,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
276,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
278,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
281,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
282,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
286,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
