Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
9,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Grassland
