Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LVQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,Water,Non_Wetland,Water
18,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
46,NULL,NULL,Cropland,Water,Non_Wetland,Water
47,NULL,NULL,Cropland,Water,Non_Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
52,NULL,NULL,Wetland,Non_Water,Wetland,Water
53,NULL,NULL,Wetland,Non_Water,Wetland,Forest
54,NULL,NULL,Wetland,Water,Wetland,Grassland
55,NULL,NULL,Wetland,Water,Wetland,Bareland
56,NULL,NULL,Wetland,Water,Wetland,Water
57,NULL,NULL,Wetland,Water,Wetland,Forest
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
62,NULL,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
70,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
72,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
73,NULL,NULL,Bareland,Water,Non_Wetland,Water
74,NULL,NULL,Bareland,Water,Non_Wetland,Forest
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
85,NULL,NULL,Built-up,Water,Non_Wetland,Water
86,NULL,NULL,Water,NULL,Water,NULL
87,NULL,NULL,Water,NULL,Water,Grassland
88,NULL,NULL,Water,NULL,Water,Bareland
89,NULL,NULL,Water,NULL,Water,Water
90,NULL,NULL,Water,NULL,Water,Forest
91,NULL,NULL,Water,Non_Water,Water,Grassland
92,NULL,NULL,Water,Non_Water,Water,Bareland
93,NULL,NULL,Water,Non_Water,Water,Water
94,NULL,NULL,Water,Non_Water,Water,Forest
95,NULL,NULL,Water,Water,Water,Grassland
96,NULL,NULL,Water,Water,Water,Bareland
97,NULL,NULL,Water,Water,Water,Water
98,NULL,NULL,Water,Water,Water,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
104,NULL,NULL,Forest,NULL,Non_Wetland,Water
105,NULL,NULL,Forest,NULL,Non_Wetland,Forest
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
110,NULL,NULL,Forest,Water,Non_Wetland,Grassland
111,NULL,NULL,Forest,Water,Non_Wetland,Bareland
112,NULL,NULL,Forest,Water,Non_Wetland,Water
113,NULL,NULL,Forest,Water,Non_Wetland,Forest
114,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
115,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
122,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
123,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
129,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
132,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
133,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
134,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
136,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
137,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
138,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
139,NULL,Cropland,Wetland,Water,Wetland,Bareland
140,NULL,Cropland,Wetland,Water,Wetland,Water
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
143,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
147,NULL,Cropland,Water,NULL,Water,Grassland
148,NULL,Cropland,Water,Water,Water,Water
149,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
151,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
154,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland
155,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
156,NULL,Cropland,Forest,Water,Non_Wetland,Water
157,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Water
158,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
159,NULL,Wetland,Cropland,Water,Non_Wetland,Water
160,NULL,Wetland,Forest,Water,Non_Wetland,Water
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
165,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
166,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
167,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
168,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
169,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
170,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
171,NULL,Bareland,Shrubland,Water,Non_Wetland,Built-up
