Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
67,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
71,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
72,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
73,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
