Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
18,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
24,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
25,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
26,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
27,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
28,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
29,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
