Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KGR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KGR_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
39,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
41,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
42,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
43,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
74,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
75,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
76,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
77,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
78,NULL,NULL,Water,Water,Water,NULL,NULL,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
89,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
94,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
95,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
105,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
106,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
118,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
127,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
135,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
138,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Water,Water,Water,Water,NULL,NULL,Water
140,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
141,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
142,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
143,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
144,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
145,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
146,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
147,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
149,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
150,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
152,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
153,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
155,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
157,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
158,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
159,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
161,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
162,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
165,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
166,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
167,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
169,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
170,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
172,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
173,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
174,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
176,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
177,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
178,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
179,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
180,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
181,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
182,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
184,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
185,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
186,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
189,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
191,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
192,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
193,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
194,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
195,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,Grassland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
197,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
199,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Grassland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
203,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
204,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
205,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
206,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
207,Grassland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
208,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
210,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
211,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
212,Grassland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
214,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
215,Grassland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,Grassland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
217,Grassland,Bareland,Water,Water,Water,NULL,NULL,Grassland
218,Grassland,Bareland,Water,Water,Water,NULL,NULL,Bareland
219,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
220,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
222,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
223,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
225,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
227,Grassland,Water,Water,Water,Water,NULL,NULL,Water
228,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
229,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
230,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
232,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
234,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
235,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
236,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
237,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
240,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
241,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
242,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
244,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
245,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
247,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
248,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
249,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
251,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
252,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
254,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
255,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
256,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
257,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
258,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
259,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
260,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
261,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
262,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
263,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
264,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
265,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
267,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
268,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
269,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
271,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
272,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
273,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
274,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
275,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
276,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
277,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
278,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
280,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
281,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
282,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
283,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
284,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
286,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
288,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
290,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
292,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
294,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
295,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
296,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
297,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
298,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
299,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
300,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
301,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
302,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
303,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
304,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
306,Cropland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
307,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
309,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
311,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
312,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
313,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
315,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
318,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
319,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
320,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
321,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
322,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
324,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
325,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
