Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
124,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Bareland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
138,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
141,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
148,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
150,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
151,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
