Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCE_M_R
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
42,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
43,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
44,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
45,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
46,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
47,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
48,NULL,NULL,Water,Water,Water,NULL,NULL,Water
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
65,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
66,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
67,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
77,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
82,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
83,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
84,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
85,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
86,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
87,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
88,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
89,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
90,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
91,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
92,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
98,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
100,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
111,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
112,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
117,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
119,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
124,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
127,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
128,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
129,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
130,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
131,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
132,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
133,NULL,Water,Water,NULL,Water,NULL,NULL,Water
134,NULL,Water,Water,Water,Water,NULL,NULL,Water
135,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
145,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
146,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
147,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
148,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
149,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
153,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
155,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
157,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
158,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
161,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
162,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
163,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
165,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
166,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
167,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
168,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
169,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
171,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
172,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
174,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
176,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
177,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
178,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
179,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
180,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
181,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
182,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
183,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
184,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
185,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
186,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
187,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
188,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
189,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
190,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
191,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
194,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
195,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
196,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
197,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
198,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
199,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
200,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
201,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
202,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
204,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
205,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
207,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
208,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
209,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
210,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
211,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
212,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
214,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
216,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
217,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
219,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
220,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
221,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
222,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
225,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
227,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
229,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
231,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
232,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
234,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
235,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
236,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
237,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
238,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
239,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
240,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
241,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
242,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
243,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
244,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
245,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
246,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
247,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Forest
248,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
249,Grassland,Wetland,Water,Water,Water,NULL,NULL,Forest
250,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
251,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
253,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
254,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
256,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
257,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
259,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
260,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
262,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
263,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
266,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
267,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
268,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
269,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
270,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
271,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
272,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
273,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
274,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
275,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
277,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
278,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
279,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
280,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
281,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
282,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
286,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
287,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
288,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
289,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
290,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
291,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
292,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
293,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
294,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
295,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
296,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
298,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
300,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
303,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
305,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
306,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
307,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
309,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
310,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
311,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
312,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
316,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
317,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
319,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
321,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
322,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
324,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
327,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
329,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
330,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
331,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
333,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
334,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
336,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
337,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
338,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
339,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
340,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
341,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
