Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
