Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
17,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
18,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
20,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
