Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
