Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUG_M_R
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
90,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
93,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
94,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
95,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
96,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
97,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
98,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
99,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
100,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
101,NULL,NULL,Water,Water,Water,NULL,NULL,Water
102,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
129,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
130,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
131,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
136,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
140,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
143,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
145,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
147,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
150,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
151,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
157,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
158,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
159,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
161,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
163,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
166,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
168,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
177,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
179,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
180,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
181,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
186,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
189,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
190,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
192,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
194,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
199,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
200,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
202,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
203,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
204,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
205,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
206,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
207,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
208,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
209,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
210,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
211,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
212,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
213,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
217,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
218,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
219,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
220,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
221,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
222,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
223,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
224,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
225,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
226,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
228,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
233,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
234,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
236,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
237,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
242,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
247,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
254,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
255,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
262,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
267,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
268,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
269,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
270,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
271,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
272,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
274,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
275,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
276,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
277,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
278,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
279,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
280,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
281,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
282,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
287,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
289,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
290,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
291,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
292,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
293,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
303,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
305,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
306,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
307,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
308,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
309,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
310,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
312,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
314,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
315,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
317,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
319,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
322,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
324,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
326,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,NULL
328,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
330,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
331,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
333,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
334,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
335,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
336,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
337,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
338,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
