Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Forest
44,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
47,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
48,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
