Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
99,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Forest
242,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
247,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
251,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
259,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
264,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
269,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
276,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
315,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
