Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
191,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
192,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
193,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
194,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
