Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
195,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
201,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
204,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
208,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
210,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
211,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
213,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Cropland
215,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
216,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
