Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
51,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
52,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
53,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
54,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
55,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
56,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
57,NULL,NULL,Water,Water,Water,NULL,NULL,Water
58,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
70,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
80,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
81,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
91,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
94,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
96,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
97,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
98,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
99,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
100,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
101,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
102,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
103,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
104,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
105,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
106,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
108,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
112,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
116,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
119,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
120,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
129,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
136,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
147,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
148,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
157,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
162,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
164,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
166,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
167,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
168,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
169,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
170,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
171,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
172,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Water,Water,NULL,Water,NULL,NULL,Water
174,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
175,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
176,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
177,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
178,NULL,Water,Water,Water,Water,NULL,NULL,Water
179,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
190,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,NULL
192,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
195,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
196,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
197,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
198,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
199,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
200,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
201,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
202,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
203,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
204,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
205,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
206,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
208,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
213,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
215,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
216,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
217,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
218,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
219,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
221,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
222,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
224,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
226,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
227,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
229,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
230,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
231,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
233,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
234,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
235,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
236,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
238,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
239,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
240,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
241,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
242,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
243,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
244,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
246,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
247,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
248,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
254,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
255,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
256,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
257,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
258,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
259,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
260,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
261,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
262,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
263,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
265,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
266,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
267,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
269,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
270,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
272,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
273,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
274,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
276,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
278,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
281,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
285,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
287,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
289,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
291,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
292,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
294,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
296,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
297,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
298,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
299,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
300,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
301,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
302,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
303,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
304,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
305,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
307,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
308,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
309,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
310,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
311,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
315,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
316,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
318,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
321,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
322,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
323,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
325,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
326,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
327,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
328,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
329,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
330,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
331,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
332,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
333,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
334,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
335,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
336,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
337,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
338,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
339,Grassland,Water,Water,Water,Water,NULL,NULL,Wetland
340,Grassland,Water,Water,Water,Water,NULL,NULL,Water
341,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
342,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
343,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
