Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
16,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
18,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
19,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Water
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
34,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
48,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
