Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTR_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
117,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
125,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
127,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
128,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
130,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
132,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
133,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
137,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
138,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
139,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
144,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
145,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
146,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
147,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
148,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
149,NULL,NULL,Water,Water,Water,NULL,NULL,Water
150,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
172,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
173,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
174,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
175,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
176,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
177,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
178,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
179,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
180,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
181,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
183,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
184,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
185,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
186,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
187,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
188,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
189,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
190,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
196,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
197,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
198,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
200,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
202,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
203,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
204,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
205,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
207,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
208,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
209,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
210,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
212,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
214,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
215,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
216,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
219,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
220,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
221,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
222,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
224,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
227,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
229,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
230,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
231,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
233,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
234,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
235,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
236,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
237,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
238,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
239,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
240,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
241,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
242,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
243,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
244,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
246,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
247,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
248,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
249,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
250,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
251,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
253,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
254,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
255,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
256,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
257,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
259,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
261,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
262,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
263,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
264,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
265,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
267,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
268,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
269,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
271,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
272,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
273,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
274,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
276,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
277,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
278,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
279,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
280,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
282,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
283,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
284,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
285,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
286,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
287,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
288,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
289,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
290,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
291,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
292,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
293,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
294,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
295,Grassland,NULL,Water,Water,Water,NULL,NULL,NULL
296,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
297,Grassland,NULL,Water,Water,Water,NULL,NULL,Cropland
298,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
299,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
300,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
301,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
302,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
303,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
305,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
306,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
307,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
308,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
309,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
310,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
311,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
313,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
314,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
315,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
316,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
317,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
318,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
320,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
321,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
322,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
323,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
324,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
325,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
326,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
327,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
328,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
329,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
330,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
331,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
332,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
334,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
335,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
336,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
337,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
338,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
339,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
340,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
341,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
342,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
