Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
307,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
315,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
316,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
318,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
320,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
321,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
323,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
