Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFD_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
108,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
109,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
110,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
111,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
112,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
113,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
114,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
115,NULL,NULL,Water,Water,Water,NULL,NULL,Water
116,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
127,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
130,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
132,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
138,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
147,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
148,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
160,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
162,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
163,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
165,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
180,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
184,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
185,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
187,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
189,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
190,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
191,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
192,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
193,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
194,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
195,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
196,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
197,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
205,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
211,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
215,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
216,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
223,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
225,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
226,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
227,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
228,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
231,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
234,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
237,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
239,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
241,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
243,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
244,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
245,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
246,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
247,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
248,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
249,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
250,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
251,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
252,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
256,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
257,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
258,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
261,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
266,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
267,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
268,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
269,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
270,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
271,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
272,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
273,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
274,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
275,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
276,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
279,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
281,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
282,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
283,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
284,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
285,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
286,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
289,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
290,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
291,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
294,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
295,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
296,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
298,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
299,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
306,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
307,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
310,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
311,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
318,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
319,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
320,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
321,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
322,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
323,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
324,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
325,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
328,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
329,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
330,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
331,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
332,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
333,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
335,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
336,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
337,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
338,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
