Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Wetland,Forest
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
118,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Forest
121,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
123,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
124,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
125,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
126,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
132,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
135,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
137,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Forest
143,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
144,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
145,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
146,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
147,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
148,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
149,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
153,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
154,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
155,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
157,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
159,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
161,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
163,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Forest
165,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
166,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
167,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Grassland
168,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,NULL,Water,Non_Wetland,Forest,Wetland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
