Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
164,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
165,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
168,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
169,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
170,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
