Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
16,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
24,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
26,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
27,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
