Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
