Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
67,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
71,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Wetland,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
