Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
77,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
82,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
113,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
115,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
264,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
265,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
267,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
268,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
269,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
272,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
275,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
276,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
279,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
280,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
281,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
282,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
283,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
287,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Cropland
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
