Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
207,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
208,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
220,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
224,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
225,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
228,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
