Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
71,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
74,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
75,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
76,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
77,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
78,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
79,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
80,NULL,NULL,Water,Water,Water,NULL,NULL,Water
81,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
91,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
105,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
108,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
109,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
112,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
113,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
114,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
115,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
116,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
117,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
118,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
119,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
120,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
121,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
122,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
123,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
124,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
125,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
126,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
127,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
128,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
129,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
130,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
131,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
132,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
135,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
137,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
138,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
139,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
153,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
156,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
157,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
161,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
162,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
163,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
164,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
165,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
166,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
167,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
178,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
179,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
180,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
181,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
182,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Built-up
188,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
189,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
194,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
196,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
198,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
201,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
204,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
206,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
207,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
208,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
209,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
210,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
211,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
212,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
213,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
214,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
215,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
216,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
217,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
218,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
219,NULL,Water,Water,NULL,Water,NULL,NULL,Water
220,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
221,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
222,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
223,NULL,Water,Water,Water,Water,NULL,NULL,Built-up
224,NULL,Water,Water,Water,Water,NULL,NULL,Water
225,NULL,Water,Water,Water,Water,NULL,NULL,Forest
226,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
228,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
230,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
233,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
234,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
240,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
243,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
244,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
245,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
246,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
249,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
250,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
251,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
252,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
253,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
254,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
255,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
256,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
258,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
260,NULL,Forest,Water,NULL,Water,NULL,NULL,Wetland
261,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
262,NULL,Forest,Water,Water,Water,NULL,NULL,Wetland
263,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
264,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
266,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
268,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
269,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
270,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
271,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
273,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
274,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
275,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
277,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
278,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
279,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
280,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
281,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
282,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
283,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
284,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
285,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
286,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
287,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
288,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
289,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
290,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
291,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
292,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
294,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
295,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
296,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
297,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
298,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
299,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
301,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
302,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
303,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
304,Grassland,Water,Water,Water,Water,NULL,NULL,Water
305,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
307,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
308,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
309,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
310,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
311,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
312,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
313,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
314,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
315,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
318,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
319,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
321,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
322,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
323,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
324,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
325,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
326,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
327,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
328,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
329,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
330,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
331,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
332,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
333,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
335,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
337,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
338,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
339,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
341,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
342,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
343,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
344,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
345,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
346,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
347,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
348,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
349,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
350,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
