Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
36,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
