Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
