Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KTE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KTE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KTE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
212,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Built-up
216,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
220,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
221,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
222,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
224,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
225,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
226,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
