Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
236,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
241,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
242,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
245,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
