Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KKA_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
100,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
101,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
102,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
103,NULL,NULL,Water,Water,Water,NULL,NULL,Water
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
113,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
114,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
116,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
117,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
118,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
119,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
121,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
122,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
123,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
124,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
125,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
127,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
128,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
129,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
130,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
131,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
132,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
134,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
135,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
136,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
137,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
138,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
139,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
140,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
141,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
142,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
143,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
144,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
145,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
146,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
147,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
148,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
149,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
150,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
151,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
152,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
153,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
155,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
156,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
157,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
158,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
159,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
160,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
161,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
162,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
163,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
164,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
166,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
167,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
169,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
170,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
171,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
172,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
174,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
175,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
176,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
177,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
178,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
179,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
180,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
181,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
183,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
184,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
185,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
186,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
188,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
189,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
190,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
191,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
192,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
194,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
195,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
196,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
197,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
199,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
200,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
201,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
203,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
204,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
205,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
206,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
207,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
208,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
209,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
211,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
212,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
213,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
214,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
216,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
217,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
218,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
219,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
220,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
221,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
222,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
223,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
224,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
225,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
226,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
227,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
228,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
229,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
230,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
234,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
235,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
236,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
237,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
238,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
240,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
241,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
242,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
243,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
244,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
245,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
246,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
247,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
249,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
250,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
251,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
252,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
253,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
254,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
256,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
257,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
258,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
259,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
261,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
262,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
263,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
264,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
265,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
266,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
267,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
268,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
269,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
270,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
271,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
272,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
273,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
274,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
275,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
276,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
277,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
278,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
279,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
280,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
281,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
282,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
283,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
284,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
285,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
286,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
287,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
288,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
289,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
290,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
291,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
293,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
294,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
295,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
296,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
297,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
298,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
300,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
301,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
302,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
303,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
304,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
305,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
306,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
307,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
308,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
309,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
310,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
311,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
312,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
313,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
314,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
316,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
317,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
318,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
319,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
320,Cropland,NULL,Water,NULL,Water,NULL,NULL,Cropland
321,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
322,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
323,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
324,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
325,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
326,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
327,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
329,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
330,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
331,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
