Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Built-up
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Shrubland,NULL
