Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Water
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,NULL
277,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
278,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
279,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
281,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
282,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
283,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
