Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDG_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
107,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
109,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
110,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
111,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
112,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
113,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
114,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
115,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
117,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
118,NULL,NULL,Water,Water,Water,NULL,NULL,Water
119,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
132,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
134,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
135,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
136,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
140,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
145,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
147,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
148,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
159,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
160,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
174,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
181,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
184,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
185,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
186,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
187,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
189,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
191,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
192,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
193,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
194,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
196,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
201,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
203,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
204,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
213,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
214,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
215,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
216,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
217,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
218,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
219,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
220,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
221,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
222,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
224,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
225,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
226,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
227,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
230,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
234,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
239,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
241,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
243,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
244,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
247,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
248,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
253,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
261,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
266,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
267,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
268,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
269,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
270,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
271,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
272,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
273,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
276,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
277,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
279,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
281,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
283,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
284,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
285,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
286,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
287,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
288,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
289,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
290,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
291,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
292,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
296,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
299,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
301,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
306,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
308,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
309,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
314,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
315,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
316,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
322,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
323,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
324,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
327,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
328,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
329,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
330,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
331,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
332,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
333,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
334,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
335,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
336,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
338,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
339,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
