Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
132,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
133,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
135,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Water
136,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
138,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
139,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
140,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
141,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
142,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
143,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Wetland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Bareland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
311,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
317,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
320,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
321,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
