Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
95,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
98,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
120,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
127,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
128,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
129,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
130,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
131,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
133,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
134,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
135,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
136,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
137,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
138,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
139,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
140,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
141,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
142,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
143,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
144,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
145,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
146,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
147,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
168,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
174,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
177,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
179,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
192,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
197,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
198,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
203,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
204,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
208,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
212,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
215,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
220,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
222,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
223,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
224,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
225,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Water
226,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Grassland
227,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
233,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
234,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
235,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
236,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
237,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
238,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
239,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
240,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
241,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
242,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
243,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Water
244,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Forest
245,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
246,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
247,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
248,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
249,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
251,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
252,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
255,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
256,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
258,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
259,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
261,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
262,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
263,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
266,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
267,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
268,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
271,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
273,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
275,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Built-up,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Built-up,Built-up
277,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
278,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Built-up
279,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Bareland
280,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Water,Water
281,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
282,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
283,NULL,NULL,Water,NULL,Water,NULL,Built-up,Bareland
284,NULL,NULL,Water,NULL,Water,NULL,Built-up,Built-up
285,NULL,NULL,Water,NULL,Water,NULL,Built-up,Forest
286,NULL,NULL,Water,NULL,Water,NULL,Water,Bareland
287,NULL,NULL,Water,NULL,Water,NULL,Water,Water
288,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
289,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Built-up
290,NULL,NULL,Water,NULL,Water,Bareland,Water,Built-up
291,NULL,NULL,Water,NULL,Water,Built-up,Built-up,Built-up
292,NULL,NULL,Water,NULL,Water,Water,Built-up,Grassland
293,NULL,NULL,Water,NULL,Water,Water,Built-up,Built-up
294,NULL,NULL,Water,NULL,Water,Water,Built-up,Forest
295,NULL,NULL,Water,NULL,Water,Water,Water,Bareland
296,NULL,NULL,Water,NULL,Water,Water,Water,Built-up
297,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
298,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Grassland
299,NULL,NULL,Water,Non_Water,Water,NULL,Water,Water
300,NULL,NULL,Water,Non_Water,Water,Water,NULL,Grassland
301,NULL,NULL,Water,Non_Water,Water,Water,NULL,Cropland
302,NULL,NULL,Water,Water,Water,Water,NULL,Grassland
303,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
304,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
306,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
309,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
310,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
316,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
317,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
318,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Bareland
319,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Built-up
320,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
323,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
329,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
330,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
331,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
