Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Cropland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
