Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LQK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LQK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LQK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LQK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LQK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LQK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Cropland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
