Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
42,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
43,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
