Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
64,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
68,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
74,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
75,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
76,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
77,NULL,NULL,Wetland,Water,Wetland,NULL,Water
78,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
86,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
95,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
96,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Water
97,NULL,NULL,Water,NULL,Water,NULL,NULL
98,NULL,NULL,Water,NULL,Water,NULL,Grassland
99,NULL,NULL,Water,NULL,Water,NULL,Wetland
100,NULL,NULL,Water,NULL,Water,NULL,Bareland
101,NULL,NULL,Water,NULL,Water,NULL,Water
102,NULL,NULL,Water,NULL,Water,NULL,Forest
103,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
104,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
105,NULL,NULL,Water,Non_Water,Water,NULL,Bareland
106,NULL,NULL,Water,Non_Water,Water,NULL,Water
107,NULL,NULL,Water,Non_Water,Water,NULL,Forest
108,NULL,NULL,Water,Water,Water,NULL,Grassland
109,NULL,NULL,Water,Water,Water,NULL,Wetland
110,NULL,NULL,Water,Water,Water,NULL,Bareland
111,NULL,NULL,Water,Water,Water,NULL,Water
112,NULL,NULL,Water,Water,Water,NULL,Forest
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
120,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
131,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
138,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
140,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Bareland
141,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Water
142,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up
144,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
145,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Water
146,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
149,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
150,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
151,NULL,Cropland,Wetland,Water,Wetland,NULL,Bareland
152,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
154,NULL,Cropland,Water,NULL,Water,NULL,Bareland
155,NULL,Cropland,Water,NULL,Water,NULL,Water
156,NULL,Cropland,Water,Water,Water,NULL,Bareland
157,NULL,Cropland,Water,Water,Water,NULL,Water
158,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
159,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland
160,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland
161,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
162,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
163,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Bareland
164,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Water
165,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
166,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland
167,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland
168,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Water
169,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Forest
170,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
171,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland
172,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Bareland
173,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water
174,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
175,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Bareland
176,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Water
177,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Forest
178,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
179,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
180,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
184,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
185,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
