Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
27,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
52,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
53,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
55,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
56,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
80,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
83,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
86,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
87,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
89,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
90,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
91,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
92,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
98,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
