Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Built-up
129,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
147,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
148,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
149,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
150,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
151,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
152,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
153,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
155,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Forest
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Forest
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
324,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
