Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
7,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
8,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
9,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
10,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
11,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
12,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
13,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
14,NULL,NULL,Water,Water,Water,NULL,NULL,Water
15,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
16,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
19,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
20,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
21,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
22,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
24,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
25,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
26,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
28,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
31,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
39,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
40,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
41,NULL,Water,Water,Water,Water,NULL,NULL,Water
42,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
46,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
47,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
48,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
49,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
50,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
51,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
52,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
53,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
54,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
55,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
58,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
59,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
60,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
61,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
62,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
63,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
64,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
65,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
66,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
67,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
69,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
70,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
71,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
72,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
73,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
74,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
75,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
76,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
77,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
78,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
81,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
82,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
83,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
84,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
85,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
86,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
87,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
88,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
89,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
90,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
91,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
92,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
93,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
94,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
95,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
96,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
97,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
99,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
100,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
103,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
104,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
105,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
106,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
107,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
110,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
111,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
112,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
113,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
114,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
115,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
